identifiedby_att,correto?,probabilidade_corretude,nome_real,scientificname
"Callejas, R",1,0.3765992969677145,Peperomia psilostachya,Peperomia psilostachya
T. G. Yuncker,0,0.3560215930235693,Piper,Piper glandulosissimum
George Azevedo de Queiroz,1,0.45407715773045076,Piper amalago,Piper amalago
"Guimarães, EF",0,0.5514097200479395,Piper,Piper lucaeanum grandifolium
George Azevedo de Queiroz,1,0.45407715773045076,Piper amplum,Piper amplum
"Marcusso, GM",1,0.49650351640644386,Peperomia tetraphylla,Peperomia tetraphylla
"Guimarães, EF",1,0.5514097200479395,Piper peltatum,Piper peltatum
"Guimarães, EF",1,0.5514097200479395,Piper amalago,Piper amalago
R. Callejas Posada,1,0.3481570883814911,Piper manausense,Piper manausense
"Guimarães, EF",1,0.5514097200479395,Piper vicosanum,Piper vicosanum
"Callejas, R",0,0.3765992969677145,Peperomia,Peperomia san-joseana
"Guimarães, EF",1,0.5514097200479395,Piper crassinervium,Piper crassinervium
"Guimarães, EF",0,0.5514097200479395,Piper amalago,Piper amalago medium
"Guimarães, EF",0,0.5514097200479395,Peperomia glabella,Peperomia glabella glabella
"Guimarães, EF",1,0.5514097200479395,Piper macedoi,Piper macedoi
R. Callejas Posada,1,0.3481570883814911,Piper richardiifolium,Piper richardiifolium
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia crinicaulis,Peperomia crinicaulis
"Marcusso, GM",1,0.49650351640644386,Peperomia macrostachya,Peperomia macrostachya
"Guimarães, EF",0,0.5514097200479395,Piper,Piper silvigaudens
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia psilostachya,Peperomia psilostachya
"Machado-Silva, T.",1,0.9143551340758224,Peperomia alata,Peperomia alata
"Callejas, R",1,0.3765992969677145,Piper gaudichaudianum,Piper gaudichaudianum
R. Callejas Posada,1,0.3481570883814911,Piper divaricatum,Piper divaricatum
R. Callejas Posada,1,0.3481570883814911,Peperomia glabella,Peperomia glabella
"Marcusso, GM",1,0.49650351640644386,Peperomia glazioui,Peperomia glazioui
"Guimarães, EF",0,0.5514097200479395,Piper arboreum,Piper arboreum arboreum
"Callejas, R",0,0.3765992969677145,Ottonia,Ottonia loefgreni
"Callejas, R",0,0.3765992969677145,Piper arboreum,Piper arboreum latifolium
"Guimarães, EF",1,0.5514097200479395,Piper lhotzkyanum,Piper lhotzkyanum
"Guimarães, EF",0,0.5514097200479395,Piper,Piper hemmendorffii
"Guimarães, EF",1,0.5514097200479395,Piper rivinoides,Piper rivinoides
T. G. Yuncker,0,0.3560215930235693,Piper,Piper capitarianum
"Guimarães, EF",1,0.5514097200479395,Piper caldense,Piper caldense
"Marcusso, GM",0,0.49650351640644386,Piper gaudichaudianum,Piper cf.gaudichaudianum
"Callejas, R",1,0.3765992969677145,Peperomia lanceolato-peltata,Peperomia lanceolato-peltata
"Callejas, R",1,0.3765992969677145,Peperomia crinicaulis,Peperomia crinicaulis
George Azevedo de Queiroz,1,0.45407715773045076,Piper hoffmannseggianum,Piper hoffmannseggianum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia urocarpa,Peperomia urocarpa
T. G. Yuncker,0,0.3560215930235693,Piper crassinervium,Piper crassinervium tocotanum
T. G. Yuncker,1,0.3560215930235693,Piper obliquum,Piper obliquum
"Guimarães, EF",1,0.5514097200479395,Peperomia alata,Peperomia alata
"Callejas, R",1,0.3765992969677145,Piper macedoi,Piper macedoi
"Guimarães, EF",1,0.5514097200479395,Piper regnellii,Piper regnellii
"Carvalho-Silva, M",1,0.6647044240526462,Piper xylosteoides,Piper xylosteoides
"Guimarães, EF",0,0.5514097200479395,Piper aduncum,Piper
M. Carvalho-Silva,1,0.6398998245225979,Peperomia velloziana,Peperomia velloziana
"Guimarães, EF",1,0.5514097200479395,Manekia obtusa,Manekia obtusa
"Callejas, R",1,0.3765992969677145,Piper hostmannianum,Piper hostmannianum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia trineuroides,Peperomia trineuroides
"Marcusso, GM",1,0.49650351640644386,Peperomia magnoliifolia,Peperomia magnoliifolia
M. Carvalho-Silva,1,0.6398998245225979,Peperomia magnoliifolia,Peperomia magnoliifolia
D. Monteiro,1,0.6345303638176161,Piper ovatum,Piper ovatum
"Marcusso, GM",1,0.49650351640644386,Peperomia urocarpa,Peperomia urocarpa
George Azevedo de Queiroz,1,0.45407715773045076,Peperomia alata,Peperomia alata
"Carvalho-Silva, M",1,0.6647044240526462,Piper aduncum,Piper aduncum
George Azevedo de Queiroz,1,0.45407715773045076,Piper aduncum,Piper aduncum
"Guimarães, EF",1,0.5514097200479395,Piper corcovadensis,Piper corcovadensis
T. G. Yuncker,0,0.3560215930235693,Piper,Piper guianense
"Callejas, R",1,0.3765992969677145,Peperomia magnoliifolia,Peperomia magnoliifolia
"Guimarães, EF",0,0.5514097200479395,Peperomia glabella,Peperomia glabella glabella
"Callejas, R",1,0.3765992969677145,Piper ovatum,Piper ovatum
M. Carvalho-Silva,1,0.6398998245225979,Piper amplum,Piper amplum
"Carvalho-Silva, M",1,0.6647044240526462,Piper marginatum,Piper marginatum
"Marcusso, GM",1,0.49650351640644386,Piper glabratum,Piper glabratum
R. Callejas Posada,0,0.3481570883814911,Piper,Piper francovilleanum
T. G. Yuncker,1,0.3560215930235693,Piper consanguineum,Piper consanguineum
"Callejas, R",1,0.3765992969677145,Piper aleyreanum,Piper aleyreanum
"Callejas, R",0,0.3765992969677145,Piper,Piper ilheusense
M. Carvalho-Silva,1,0.6398998245225979,Piper aduncum,Piper aduncum
"Guimarães, EF",0,0.5514097200479395,Peperomia hispidula,Peperomia hispidula sellowiana
"Guimarães, EF",1,0.5514097200479395,Piper tuberculatum,Piper tuberculatum
"Callejas, R",1,0.3765992969677145,Peperomia circinnata,Peperomia circinnata
"Guimarães, EF",1,0.5514097200479395,Piper corcovadensis,Piper corcovadensis
"Guimarães, EF",1,0.5514097200479395,Piper richardiifolium,Piper richardiifolium
"Callejas, R",0,0.3765992969677145,Piper,Piper vitaceum
R. Callejas Posada,0,0.3481570883814911,Peperomia,Peperomia caldasiana
R. Callejas Posada,0,0.3481570883814911,Piper,Piper coruscans
"Callejas, R",1,0.3765992969677145,Peperomia quadrangularis,Peperomia quadrangularis
T. G. Yuncker,1,0.3560215930235693,Peperomia circinnata,Peperomia circinnata
R. Callejas Posada,1,0.3481570883814911,Piper malacophyllum,Piper malacophyllum
"Guimarães, EF",1,0.5514097200479395,Peperomia catharinae,Peperomia catharinae
T. G. Yuncker,0,0.3560215930235693,Piper,Piper cabralanum
"Guimarães, EF",1,0.5514097200479395,Piper peltatum,Piper peltatum
"Guimarães, EF",1,0.5514097200479395,Peperomia glabella,Peperomia glabella
"Carvalho-Silva, M",1,0.6647044240526462,Piper arboreum,Piper arboreum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia corcovadensis,Peperomia corcovadensis
"Callejas, R",1,0.3765992969677145,Piper pellitum,Piper pellitum
"Callejas, R",1,0.3765992969677145,Piper hostmannianum,Piper hostmannianum
"Guimarães, EF",1,0.5514097200479395,Piper mollicomum,Piper mollicomum
R. Callejas Posada,0,0.3481570883814911,Piper,Piper coruscans
R. Callejas Posada,1,0.3481570883814911,Piper aduncum,Piper aduncum
"Marcusso, GM",0,0.49650351640644386,Piper,Piper casapiense
"Guimarães, EF",1,0.5514097200479395,Piper arboreum,Piper arboreum
"Guimarães, EF",1,0.5514097200479395,Peperomia pseudoestrellensis,Peperomia pseudoestrellensis
T. G. Yuncker,1,0.3560215930235693,Peperomia macrostachya,Peperomia macrostachya
"Guimarães, EF",1,0.5514097200479395,Piper regnellii,Piper regnellii
R. Callejas Posada,1,0.3481570883814911,Peperomia serpens,Peperomia serpens
M. Carvalho-Silva,1,0.6398998245225979,Peperomia sincorana,Peperomia sincorana
"Marcusso, GM",1,0.49650351640644386,Peperomia magnoliifolia,Peperomia magnoliifolia
"Carvalho-Silva, M",0,0.6647044240526462,Piper,Piper schenckii
"Marcusso, GM",1,0.49650351640644386,Peperomia hilariana,Peperomia hilariana
"Guimarães, EF",1,0.5514097200479395,Piper aduncum,Piper aduncum
T. G. Yuncker,0,0.3560215930235693,Peperomia tetraphylla,Peperomia tetraphylla tenera
"Guimarães, EF",1,0.5514097200479395,Peperomia rhombea,Peperomia rhombea
R. Callejas Posada,1,0.3481570883814911,Piper gaudichaudianum,Piper gaudichaudianum
M. Carvalho-Silva,1,0.6398998245225979,Peperomia nitida,Peperomia nitida
R. Callejas Posada,1,0.3481570883814911,Piper solmsianum,Piper solmsianum
"Carvalho-Silva, M",1,0.6647044240526462,Piper glabratum,Piper glabratum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia glabella,Peperomia glabella
George Azevedo de Queiroz,1,0.45407715773045076,Peperomia urocarpa,Peperomia urocarpa
M. Carvalho-Silva,1,0.6398998245225979,Piper mollicomum,Piper mollicomum
T. G. Yuncker,1,0.3560215930235693,Peperomia urocarpa,Peperomia urocarpa
"Guimarães, EF",1,0.5514097200479395,Piper mollicomum,Piper mollicomum
T. G. Yuncker,0,0.3560215930235693,Piper,Piper carniconnectivum
M. Carvalho-Silva,1,0.6398998245225979,Piper gaudichaudianum,Piper gaudichaudianum
D. Monteiro,1,0.6345303638176161,Peperomia trineuroides,Peperomia trineuroides
D. Monteiro,1,0.6345303638176161,Peperomia galioides,Peperomia galioides
D. Monteiro,1,0.6345303638176161,Piper solmsianum,Piper solmsianum
"Guimarães, EF",1,0.5514097200479395,Piper gaudichaudianum,Piper gaudichaudianum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia arifolia,Peperomia arifolia
T. G. Yuncker,0,0.3560215930235693,Piper,Piper sebastianum
T. G. Yuncker,0,0.3560215930235693,Piper cernuum,Piper cernuum glabricaule
D. Monteiro,1,0.6345303638176161,Peperomia oreophila,Peperomia oreophila
T. G. Yuncker,1,0.3560215930235693,Peperomia catharinae,Peperomia catharinae
T. G. Yuncker,0,0.3560215930235693,Piper,Piper multinodum
"Callejas, R",1,0.3765992969677145,Peperomia tetraphylla,Peperomia tetraphylla
"Marcusso, GM",1,0.49650351640644386,Piper bartlingianum,Piper bartlingianum
M. Carvalho-Silva,1,0.6398998245225979,Piper fuligineum,Piper fuligineum
M. Carvalho-Silva,1,0.6398998245225979,Peperomia blanda,Peperomia blanda
M. Carvalho-Silva,1,0.6398998245225979,Piper crassinervium,Piper crassinervium
R. Callejas Posada,0,0.3481570883814911,Piper,Piper mollipilosum
"Marcusso, GM",1,0.49650351640644386,Peperomia pellucida,Peperomia pellucida
T. G. Yuncker,1,0.3560215930235693,Piper tuberculatum,Piper tuberculatum
"Callejas, R",1,0.3765992969677145,Piper arboreum,Piper arboreum
M. Carvalho-Silva,0,0.6398998245225979,Piper,Piper klotzschianum
"Callejas, R",1,0.3765992969677145,Piper caldense,Piper caldense
"Guimarães, EF",1,0.5514097200479395,Piper glabratum,Piper glabratum
D. Monteiro,0,0.6345303638176161,Piper arboreum,Piper arboreum var. hirtellum
T. G. Yuncker,1,0.3560215930235693,Peperomia corcovadensis,Peperomia corcovadensis
D. Monteiro,1,0.6345303638176161,Piper amalago,Piper amalago
D. Monteiro,1,0.6345303638176161,Peperomia corcovadensis,Peperomia corcovadensis
T. G. Yuncker,0,0.3560215930235693,Peperomia glabella,Peperomia glabella nervulosa
D. Monteiro,1,0.6345303638176161,Peperomia glabella,Peperomia glabella
George Azevedo de Queiroz,0,0.45407715773045076,Piper,Piper diospyrifolium
"Guimarães, EF",1,0.5514097200479395,Piper bartlingianum,Piper bartlingianum
"Marcusso, GM",1,0.49650351640644386,Peperomia angustata,Peperomia angustata
"Callejas, R",1,0.3765992969677145,Piper cernuum,Piper cernuum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia blanda,Peperomia blanda
George Azevedo de Queiroz,0,0.45407715773045076,Piper arboreum,Piper arboreum arboreum
"Guimarães, EF",1,0.5514097200479395,Peperomia galioides,Peperomia galioides
"Guimarães, EF",0,0.5514097200479395,Piper,Piper viminifolium
M. Carvalho-Silva,1,0.6398998245225979,Piper tuberculatum,Piper tuberculatum
"Guimarães, EF",1,0.5514097200479395,Piper tuberculatum,Piper tuberculatum
T. G. Yuncker,1,0.3560215930235693,Piper xylosteoides,Piper xylosteoides
"Callejas, R",1,0.3765992969677145,Piper anonifolium,Piper anonifolium
"Guimarães, EF",1,0.5514097200479395,Piper demeraranum,Piper demeraranum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia urocarpa,Peperomia urocarpa
"Callejas, R",1,0.3765992969677145,Piper caldense,Piper caldense
"Marcusso, GM",1,0.49650351640644386,Piper tuberculatum,Piper tuberculatum
M. Carvalho-Silva,1,0.6398998245225979,Piper umbellatum,Piper umbellatum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia castelosensis,Peperomia castelosensis
"Callejas, R",1,0.3765992969677145,Piper macedoi,Piper macedoi
"Callejas, R",1,0.3765992969677145,Piper divaricatum,Piper divaricatum
R. Callejas Posada,1,0.3481570883814911,Piper tectoniifolium,Piper tectoniifolium
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia magnoliifolia,Peperomia magnoliifolia
D. Monteiro,1,0.6345303638176161,Piper cernuum,Piper cernuum
"Guimarães, EF",0,0.5514097200479395,Piper arboreum,Piper arboreum hirtellum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia macrostachya,Peperomia macrostachya
"Callejas, R",1,0.3765992969677145,Piper glabratum,Piper glabratum
T. G. Yuncker,1,0.3560215930235693,Peperomia barbarana,Peperomia barbarana
"Callejas, R",1,0.3765992969677145,Piper dilatatum,Piper dilatatum
"Guimarães, EF",1,0.5514097200479395,Piper crassinervium,Piper crassinervium
"Machado-Silva, T.",1,0.9143551340758224,Peperomia hilariana,Peperomia hilariana
"Guimarães, EF",0,0.5514097200479395,Piper amalago,Piper amalago var. medium
"Guimarães, EF",1,0.5514097200479395,Manekia obtusa,Manekia obtusa
M. Carvalho-Silva,1,0.6398998245225979,Peperomia glabella,Peperomia glabella
"Callejas, R",1,0.3765992969677145,Piper gaudichaudianum,Piper gaudichaudianum
"Guimarães, EF",1,0.5514097200479395,Piper mikanianum,Piper mikanianum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia rotundifolia,Peperomia rotundifolia
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia nitida,Peperomia nitida
"Carvalho-Silva, M",1,0.6647044240526462,Piper arboreum,Piper arboreum
"Callejas, R",1,0.3765992969677145,Peperomia rhombea,Peperomia rhombea
"Guimarães, EF",1,0.5514097200479395,Piper cernuum,Piper cernuum
"Guimarães, EF",1,0.5514097200479395,Piper fuligineum,Piper fuligineum
R. Callejas Posada,1,0.3481570883814911,Piper hostmannianum,Piper hostmannianum
"Guimarães, EF",1,0.5514097200479395,Peperomia blanda,Peperomia blanda
"Machado-Silva, T.",1,0.9143551340758224,Peperomia corcovadensis,Peperomia corcovadensis
D. Monteiro,1,0.6345303638176161,Piper tectoniifolium,Piper tectoniifolium
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia subternifolia,Peperomia subternifolia
"Guimarães, EF",1,0.5514097200479395,Piper anonifolium,Piper anonifolium
"Marcusso, GM",0,0.49650351640644386,Piper,Piper cyrtopodon
George Azevedo de Queiroz,1,0.45407715773045076,Peperomia alata,Peperomia alata
"Carvalho-Silva, M",1,0.6647044240526462,Piper ovatum,Piper ovatum
"Carvalho-Silva, M",1,0.6647044240526462,Piper umbellatum,Piper umbellatum
D. Monteiro,1,0.6345303638176161,Piper cernuum,Piper cernuum
T. G. Yuncker,1,0.3560215930235693,Peperomia magnoliifolia,Peperomia magnoliifolia
"Guimarães, EF",1,0.5514097200479395,Piper aduncum,Piper aduncum
"Guimarães, EF",1,0.5514097200479395,Peperomia glabella,Peperomia glabella
"Guimarães, EF",1,0.5514097200479395,Piper hoffmannseggianum,Piper hoffmannseggianum
M. Carvalho-Silva,1,0.6398998245225979,Piper tuberculatum,Piper tuberculatum
"Guimarães, EF",1,0.5514097200479395,Peperomia elongata,Peperomia elongata
T. G. Yuncker,1,0.3560215930235693,Piper hoffmannseggianum,Piper hoffmannseggianum
"Guimarães, EF",1,0.5514097200479395,Piper regnellii,Piper regnellii
"Guimarães, EF",0,0.5514097200479395,Piper,Piper frutescens
George Azevedo de Queiroz,1,0.45407715773045076,Piper rivinoides,Piper rivinoides
R. Callejas Posada,1,0.3481570883814911,Peperomia uaupesensis,Peperomia uaupesensis
"Carvalho-Silva, M",1,0.6647044240526462,Piper divaricatum,Piper divaricatum
"Guimarães, EF",1,0.5514097200479395,Piper macedoi,Piper macedoi
"Marcusso, GM",1,0.49650351640644386,Peperomia catharinae,Peperomia catharinae
George Azevedo de Queiroz,1,0.45407715773045076,Piper gaudichaudianum,Piper gaudichaudianum
R. Callejas Posada,1,0.3481570883814911,Piper hostmannianum,Piper hostmannianum
M. Carvalho-Silva,1,0.6398998245225979,Piper amalago,Piper amalago
"Carvalho-Silva, M",0,0.6647044240526462,Piper arboreum,Piper arboreum arboreum
"Guimarães, EF",1,0.5514097200479395,Peperomia catharinae,Peperomia catharinae
R. Callejas Posada,1,0.3481570883814911,Peperomia tenella,Peperomia tenella
"Guimarães, EF",1,0.5514097200479395,Piper aduncum,Piper aduncum
"Machado-Silva, T.",1,0.9143551340758224,Peperomia duartei,Peperomia duartei
"Marcusso, GM",1,0.49650351640644386,Peperomia serpens,Peperomia serpens
M. Carvalho-Silva,1,0.6398998245225979,Piper dilatatum,Piper dilatatum
T. G. Yuncker,1,0.3560215930235693,Piper hispidum,Piper hispidum
"Callejas, R",0,0.3765992969677145,Piper,Piper caldasianum
"Callejas, R",1,0.3765992969677145,Piper rivinoides,Piper rivinoides
R. Callejas Posada,1,0.3481570883814911,Piper gaudichaudianum,Piper gaudichaudianum
T. G. Yuncker,1,0.3560215930235693,Piper macedoi,Piper macedoi
"Guimarães, EF",1,0.5514097200479395,Peperomia pellucida,Peperomia pellucida
M. Carvalho-Silva,1,0.6398998245225979,Peperomia trineura,Peperomia trineura
T. G. Yuncker,1,0.3560215930235693,Peperomia trineura,Peperomia trineura
"Machado-Silva, T.",1,0.9143551340758224,Peperomia tetraphylla,Peperomia tetraphylla
D. Monteiro,1,0.6345303638176161,Piper caldense,Piper caldense
"Marcusso, GM",1,0.49650351640644386,Peperomia gardneriana,Peperomia gardneriana
"Callejas, R",1,0.3765992969677145,Peperomia hispidula,Peperomia hispidula
R. Callejas Posada,0,0.3481570883814911,Piper hoffmannseggianum,Piper hoffmannseggianum latifolium
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia tetraphylla,Peperomia tetraphylla
T. G. Yuncker,0,0.3560215930235693,Piper arboreum,Piper arboreum hirtellum
"Guimarães, EF",0,0.5514097200479395,Piper,Piper lepturum
"Callejas, R",1,0.3765992969677145,Piper crassinervium,Piper crassinervium
R. Callejas Posada,1,0.3481570883814911,Piper anisum,Piper anisum
"Callejas, R",1,0.3765992969677145,Piper hispidum,Piper hispidum
D. Monteiro,1,0.6345303638176161,Piper corcovadensis,Piper corcovadensis
"Guimarães, EF",1,0.5514097200479395,Peperomia tetraphylla,Peperomia tetraphylla
T. G. Yuncker,0,0.3560215930235693,Piper,Piper belterraense
"Callejas, R",1,0.3765992969677145,Piper anisum,Piper anisum
"Callejas, R",1,0.3765992969677145,Piper fuligineum,Piper fuligineum
"Guimarães, EF",1,0.5514097200479395,Piper hispidum,Piper hispidum
M. Carvalho-Silva,1,0.6398998245225979,Peperomia campinasana,Peperomia campinasana
"Guimarães, EF",0,0.5514097200479395,Peperomia hispidula,Peperomia hispidula sellowiana
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia macrostachya,Peperomia macrostachya
T. G. Yuncker,1,0.3560215930235693,Piper xylosteoides,Piper xylosteoides
"Guimarães, EF",1,0.5514097200479395,Peperomia sincorana,Peperomia sincorana
M. Carvalho-Silva,1,0.6398998245225979,Piper mikanianum,Piper mikanianum
T. G. Yuncker,1,0.3560215930235693,Peperomia hernandiifolia,Peperomia hernandiifolia
R. Callejas Posada,1,0.3481570883814911,Piper gaudichaudianum,Piper gaudichaudianum
"Carvalho-Silva, M",0,0.6647044240526462,Piper arboreum,Piper arboreum tuberculatum
"Guimarães, EF",1,0.5514097200479395,Piper mollicomum,Piper mollicomum
"Callejas, R",0,0.3765992969677145,Piper,Piper francovilleanum
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia circinnata,Peperomia circinnata
T. G. Yuncker,1,0.3560215930235693,Peperomia circinnata,Peperomia circinnata
"Guimarães, EF",1,0.5514097200479395,Piper permucronatum,Piper permucronatum
"Guimarães, EF",1,0.5514097200479395,Peperomia megapotamica,Peperomia megapotamica
T. G. Yuncker,0,0.3560215930235693,Piper,Piper reticulatum
R. Callejas Posada,1,0.3481570883814911,Peperomia rhombea,Peperomia rhombea
D. Monteiro,1,0.6345303638176161,Peperomia tetraphylla,Peperomia tetraphylla
"Carvalho-Silva, M",1,0.6647044240526462,Peperomia macrostachya,Peperomia macrostachya
"Callejas, R",1,0.3765992969677145,Peperomia elongata,Peperomia elongata
R. Callejas Posada,1,0.3481570883814911,Peperomia macrostachya,Peperomia macrostachya
"Guimarães, EF",1,0.5514097200479395,Piper xylosteoides,Piper xylosteoides
R. Callejas Posada,1,0.3481570883814911,Peperomia dahlstedtii,Peperomia dahlstedtii
M. Carvalho-Silva,1,0.6398998245225979,Piper amalago,Piper amalago
